id,filename,uri,separator
72,carcinogenesis_atom.csv,https://relational.fit.cvut.cz/dataset/Carcinogenesis,","
73,carcinogenesis_canc.csv,https://relational.fit.cvut.cz/dataset/Carcinogenesis,","
74,carcinogenesis_sbond_1.csv,https://relational.fit.cvut.cz/dataset/Carcinogenesis,","
75,carcinogenesis_sbond_2.csv,https://relational.fit.cvut.cz/dataset/Carcinogenesis,","
76,carcinogenesis_sbond_3.csv,https://relational.fit.cvut.cz/dataset/Carcinogenesis,","
77,carcinogenesis_sbond_7.csv,https://relational.fit.cvut.cz/dataset/Carcinogenesis,","
61,toxicology_atom.csv,https://relational.fit.cvut.cz/dataset/PTC,","
62,toxicology_bond.csv,https://relational.fit.cvut.cz/dataset/PTC,","
63,toxicology_connected.csv,https://relational.fit.cvut.cz/dataset/PTC,","
64,toxicology_molecule.csv,https://relational.fit.cvut.cz/dataset/PTC,","
65,biodegradability_atom.csv,https://relational.fit.cvut.cz/dataset/Biodegradability,","
66,biodegradability_bond.csv,https://relational.fit.cvut.cz/dataset/Biodegradability,","
67,biodegradability_gmember.csv,https://relational.fit.cvut.cz/dataset/Biodegradability,","
68,biodegradability_group.csv,https://relational.fit.cvut.cz/dataset/Biodegradability,","
69,biodegradability_molecule.csv,https://relational.fit.cvut.cz/dataset/Biodegradability,","
1,property-addresses.csv,https://opendata.vancouver.ca/explore/dataset/property-addresses/table/,";"
2,property-parcel-polygons.csv,https://opendata.vancouver.ca/explore/dataset/property-parcel-polygons/export/,";"
3,legal-lot-numbers.csv,https://opendata.vancouver.ca/explore/dataset/legal-lot-numbers/table/,";"
4,issued-building-permits.csv,https://opendata.vancouver.ca/explore/dataset/issued-building-permits/table/,";"
5,animal-control-inventory-register.csv,https://opendata.vancouver.ca/explore/dataset/animal-control-inventory-register/export/,";"
6,animal-control-inventory-lost-and-found.csv,https://opendata.vancouver.ca/explore/dataset/animal-control-inventory-lost-and-found/information/?disjunctive.breed&disjunctive.color,";"
7,animal-control-inventory-deceased-animal.csv,https://opendata.vancouver.ca/explore/dataset/animal-control-inventory-deceased-animal/export/,";"
8,parks.csv,https://opendata.vancouver.ca/explore/dataset/parks/export/?sort=-name,";"
9,parks-polygon-representation.csv,https://opendata.vancouver.ca/explore/dataset/parks-polygon-representation/table/,";"
2,vgsales.csv,https://www.kaggle.com/gregorut/videogamesales,","
3,Video_Game_Sales_as_of_Jan_2017.csv,https://www.kaggle.com/kendallgillies/video-game-sales-and-ratings,","
